symbol,timestamp,open,high,low,close,volume,date
XXBTZUSD,1530748800,6587.0000,6715.2002,6450.0000,6526.2002,3316.8146,05/07/2018
XXBTZUSD,1530835200,6529.7998,6639.2002,6450.0000,6595.3999,2358.1162,06/07/2018
XXBTZUSD,1530921600,6599.8999,6838.5000,6503.2002,6755.1001,2229.0003,07/07/2018
XXBTZUSD,1531008000,6754.1001,6777.1001,6680.5000,6704.7002,1770.8035,08/07/2018
XXBTZUSD,1531094400,6704.7998,6800.0000,6610.0000,6662.5000,2209.5823,09/07/2018
XXBTZUSD,1531180800,6662.5000,6684.2002,6276.7002,6304.6001,4426.6362,10/07/2018
XXBTZUSD,1531267200,6304.6001,6400.6001,6279.0000,6377.8999,2466.3645,11/07/2018
XXBTZUSD,1531353600,6378.0000,6378.0000,6073.2998,6242.5000,4293.1310,12/07/2018
XXBTZUSD,1531440000,6248.2002,6356.0000,6126.1001,6214.8999,2993.3955,13/07/2018
XXBTZUSD,1531526400,6215.2002,6329.5000,6187.0000,6250.3999,1472.0745,14/07/2018
XXBTZUSD,1531612800,6252.7998,6386.8999,6234.5000,6335.3999,2272.5262,15/07/2018
XXBTZUSD,1531699200,6345.2002,6750.0000,6328.0000,6727.0000,5254.1664,16/07/2018
XXBTZUSD,1531785600,6727.0000,7475.0000,6667.1001,7316.8999,7189.7355,17/07/2018
XXBTZUSD,1531872000,7316.2002,7599.0000,7234.6001,7367.3999,6059.9801,18/07/2018
XXBTZUSD,1531958400,7379.8999,7548.7998,7280.7998,7472.2998,4114.2081,19/07/2018
XXBTZUSD,1532044800,7472.2998,7670.5000,7238.7998,7320.0000,5351.3087,20/07/2018
XXBTZUSD,1532131200,7320.0000,7447.8999,7200.2998,7396.7002,2408.6830,21/07/2018
XXBTZUSD,1532217600,7397.7002,7581.8999,7320.0000,7401.1001,2554.4383,22/07/2018
XXBTZUSD,1532304000,7401.1001,7844.8999,7375.7998,7720.0000,5418.9988,23/07/2018
XXBTZUSD,1532390400,7719.8999,8491.0996,7695.0000,8401.7998,8311.6288,24/07/2018
XXBTZUSD,1532476800,8395.4004,8496.5996,8062.1001,8166.0000,5750.8014,25/07/2018
XXBTZUSD,1532563200,8164.7002,8315.0000,7840.0000,7925.0000,5606.0243,26/07/2018
XXBTZUSD,1532649600,7925.1001,8274.7998,7800.5000,8177.0000,5530.0024,27/07/2018
XXBTZUSD,1532736000,8177.1001,8250.0000,8072.0000,8230.7998,1768.0996,28/07/2018
XXBTZUSD,1532822400,8225.2998,8290.2002,8125.0000,8213.5000,1714.1729,29/07/2018
XXBTZUSD,1532908800,8213.0996,8274.9004,7850.1001,8170.0000,4501.0362,30/07/2018
XXBTZUSD,1532995200,8169.8999,8170.0000,7634.7998,7726.0000,5451.5137,31/07/2018
XXBTZUSD,1533081600,7726.0000,7757.7002,7423.0000,7604.1001,4418.8206,01/08/2018
XXBTZUSD,1533168000,7605.2998,7700.0000,7455.7002,7534.7998,3842.0863,02/08/2018
XXBTZUSD,1533254400,7534.7002,7534.7002,7254.6001,7415.0000,5255.8087,03/08/2018
XXBTZUSD,1533340800,7410.1001,7485.8999,6927.0000,7024.5000,4985.6029,04/08/2018
XXBTZUSD,1533427200,7011.7998,7088.3999,6880.1001,7026.8999,3309.7177,05/08/2018
XXBTZUSD,1533513600,7026.8999,7159.8999,6833.0000,6935.7002,3151.6214,06/08/2018
XXBTZUSD,1533600000,6935.7002,7149.0000,6659.8999,6717.7998,6505.4671,07/08/2018
XXBTZUSD,1533686400,6714.8999,6715.0000,6120.0000,6275.8999,9467.8318,08/08/2018
XXBTZUSD,1533772800,6276.6001,6630.5000,6179.1001,6536.0000,5940.6697,09/08/2018
XXBTZUSD,1533859200,6533.3999,6579.1001,6010.0000,6141.5000,7526.6867,10/08/2018
XXBTZUSD,1533945600,6141.1001,6491.1001,5969.6001,6231.7998,7124.7360,11/08/2018
XXBTZUSD,1534032000,6233.2002,6478.0000,6158.5000,6312.2002,4542.2279,12/08/2018
XXBTZUSD,1534118400,6310.0000,6544.7002,6142.5000,6250.0000,5762.2495,13/08/2018
XXBTZUSD,1534204800,6250.0000,6789.7998,5890.0000,6196.7998,10247.1497,14/08/2018
XXBTZUSD,1534291200,6193.1001,6649.0000,6186.0000,6269.5000,8069.7475,15/08/2018
XXBTZUSD,1534377600,6269.5000,6491.7998,6213.0000,6316.0000,4760.1587,16/08/2018
XXBTZUSD,1534464000,6311.6001,6596.7002,6289.1001,6589.2002,3810.8074,17/08/2018
XXBTZUSD,1534550400,6589.7002,6615.7998,6301.6001,6400.0000,3128.5217,18/08/2018
XXBTZUSD,1534636800,6400.0000,6546.8999,6317.2002,6475.1001,1721.6939,19/08/2018
XXBTZUSD,1534723200,6477.8999,6520.0000,6224.0000,6257.2002,3787.1040,20/08/2018
XXBTZUSD,1534809600,6257.1001,6500.0000,6241.3999,6475.5000,3181.6221,21/08/2018
XXBTZUSD,1534896000,6474.5000,6916.5000,6210.0000,6359.7998,8206.7351,22/08/2018
XXBTZUSD,1534982400,6354.8999,6578.2002,6329.2002,6527.2002,3430.6166,23/08/2018
XXBTZUSD,1535068800,6527.6001,6748.0000,6451.1001,6693.2998,3112.7862,24/08/2018
XXBTZUSD,1535155200,6693.1001,6795.0000,6660.6001,6732.2998,2077.0257,25/08/2018
XXBTZUSD,1535241600,6730.7998,6775.0000,6560.3999,6710.0000,2027.0911,26/08/2018
XXBTZUSD,1535328000,6710.0000,6949.7998,6648.1001,6909.0000,3181.2618,27/08/2018
XXBTZUSD,1535414400,6906.2002,7133.7002,6860.0000,7076.7002,5196.6240,28/08/2018
XXBTZUSD,1535500800,7076.7002,7120.0000,6886.6001,7022.7002,2919.7281,29/08/2018
XXBTZUSD,1535587200,7025.3999,7060.0000,6776.8999,6983.1001,4730.6290,30/08/2018
XXBTZUSD,1535673600,6983.1001,7085.8999,6888.0000,7015.7998,3498.9446,31/08/2018
XXBTZUSD,1535760000,7014.7998,7254.0000,7014.7002,7191.2998,2912.7180,01/09/2018
XXBTZUSD,1535846400,7191.2002,7331.1001,7127.5000,7294.7002,3383.4648,02/09/2018
XXBTZUSD,1535932800,7294.5000,7329.8999,7183.5000,7256.1001,2218.4270,03/09/2018
XXBTZUSD,1536019200,7256.0000,7405.8999,7219.2002,7359.2998,2791.5064,04/09/2018
XXBTZUSD,1536105600,7358.7998,7389.3999,6638.7998,6686.6001,7620.2467,05/09/2018
XXBTZUSD,1536192000,6684.3999,6702.2998,6250.0000,6494.7998,9592.9892,06/09/2018
XXBTZUSD,1536278400,6494.7998,6524.7998,6318.7998,6397.6001,3234.9675,07/09/2018
XXBTZUSD,1536364800,6400.0000,6457.7002,6073.8999,6183.2002,3870.7762,08/09/2018
XXBTZUSD,1536451200,6183.2002,6459.3999,6137.6001,6230.8999,3636.5704,09/09/2018
XXBTZUSD,1536537600,6232.7998,6371.2998,6231.0000,6304.5000,3377.3330,10/09/2018
XXBTZUSD,1536624000,6301.2002,6410.8999,6162.3999,6282.2998,3534.8259,11/09/2018
XXBTZUSD,1536710400,6281.0000,6366.3999,6195.0000,6319.5000,2970.7131,12/09/2018
XXBTZUSD,1536796800,6325.1001,6595.8999,6325.1001,6487.1001,5151.3038,13/09/2018
XXBTZUSD,1536883200,6490.5000,6599.7998,6388.0000,6482.8999,4004.8039,14/09/2018
XXBTZUSD,1536969600,6482.2998,6568.3999,6465.2002,6520.0000,1289.2184,15/09/2018
XXBTZUSD,1537056000,6520.0000,6520.1001,6342.7998,6497.8999,1667.0938,16/09/2018
XXBTZUSD,1537142400,6501.7002,6532.1001,6202.2002,6250.0000,5043.6561,17/09/2018
XXBTZUSD,1537228800,6250.0000,6384.8999,6225.0000,6330.5000,3231.4001,18/09/2018
